id,question,A,B,C,D,explanation_gpt4,answer_gpt4,answer_62b,labeled_answer,labeled_analysis
135,与正常细胞相比，癌细胞：____,不再分裂,呼吸作用降低,可以无限增殖,水分减少,"我们来分析一下这道题目的选项：

A: 不再分裂 - 不正确。癌细胞的一个显著特点是失去对细胞分裂的正常调控，导致快速、无序地进行细胞分裂。

B: 呼吸作用降低 - 不正确。癌细胞的代谢方式可能发生改变，例如从有氧呼吸转为无氧的乳酸发酵（即Warburg效应），但这并不意味着呼吸作用降低。实际上，为了支持快速的细胞增殖，癌细胞可能需要更多的能量，因此它们的代谢速率可能会增加。

C: 可以无限增殖 - 正确。正常细胞在分裂一定次数后会进入衰老状态，最终死亡。这是由于细胞在每次分裂时，染色体末端的端粒会缩短。当端粒缩短到一定程度时，细胞就不再分裂。然而，癌细胞可以通过激活端粒酶来保持端粒长度，从而实现无限增殖。

D: 水分减少 - 不正确。癌细胞与正常细胞之间的水分含量没有明显差异。

根据以上分析，正确答案是：

C",C,C,,
136,"某种植物的花色有红色、白色和紫色三种，受两对等位基因的控制;某紫花植株自交,后代植株中出现三种花色,且紫花：红花:白花= 9:3:4。下列相关叙述,错误的是____",题述两对等位基因的遗传遵循基因的分离定律和自由组合定律,题述后代紫花、红花和白花植株的基因型分别有4种、2种3种,红花植株与白花植株的杂交后代不可能全为紫花植株,红花植株或白花植株的自交后代不会出现紫花植株,"根据题目，我们已知有两对等位基因控制花色，分别用A、a和B、b表示。紫花需要A和B至少各有一个，红花需要A至少有一个，而白花需要a和b各有两个。下面我们分析每个选项。

A选项: 遗传遵循基因的分离定律和自由组合定律。这是正确的，因为在杂交过程中，两对等位基因是独立分离和组合的。

B选项: 后代紫花、红花和白花植株的基因型分别有4种、2种3种。我们可以列举出可能的基因型：
紫花：AABB、AABb、AAbb、AaBB、AaBb、Aabb、aaBB、aaBb（共8种，而非4种）
红花：AAbb、Aabb（共2种，与选项相符）
白花：aabb（共1种，而非3种）
所以B选项是错误的。

C选项: 红花植株与白花植株的杂交后代不可能全为紫花植株。红花植株的基因型为AAbb或Aabb，白花植株的基因型为aabb。当红花和白花杂交时，他们的后代基因型为AaBb（紫花）。所以C选项是正确的。

D选项: 红花植株或白花植株的自交后代不会出现紫花植株。红花植株自交后代的基因型为AABB、AABb、AAbb，其中AABB和AABb都是紫花植株。白花植株自交后代的基因型为aabb，确实不会出现紫花植株。所以D选项是正确的。

综上所述，错误的选项是B。

B",B,B,,
137,在下列果蝇的杂交组合中，通过眼色（红眼对白眼为显）即可直接判断子代果蝇性别的是____,杂合红眼雌果蝇×红眼雄果蝇,白眼雌果蝇×红眼雄果蝇,杂合红眼雌果蝇×白眼雄果蝇,白眼雌果蝇×白眼雄果蝇,"这道题目是关于果蝇遗传学的问题。果蝇的眼色性状是由一对隐性与显性等位基因控制的，其中红眼是显性（R），白眼是隐性（r）。果蝇的性别是由性染色体决定的，雌性果蝇有两个X染色体，雄性果蝇有一个X染色体和一个Y染色体。

我们需要找到一个杂交组合，通过眼色就可以直接判断子代果蝇的性别。下面我们来分析每个选项：

A: 杂合红眼雌果蝇（Rr）×红眼雄果蝇（Ry）：
杂交后子代可能的组合有：RR(雌)、Rr(雌)、Ry(雄)、ry(雄)。无论是红眼还是白眼，都可能是雌性或雄性，所以不能通过眼色直接判断性别。

B: 白眼雌果蝇（rr）×红眼雄果蝇（Ry）：
杂交后子代可能的组合有：Rr(雌)、ry(雄)。红眼一定是雌性，白眼一定是雄性，所以可以通过眼色直接判断性别。

C: 杂合红眼雌果蝇（Rr）×白眼雄果蝇（ry）：
杂交后子代可能的组合有：Rr(雌)、rr(雌)、Ry(雄)、ry(雄)。无论是红眼还是白眼，都可能是雌性或雄性，所以不能通过眼色直接判断性别。

D: 白眼雌果蝇（rr）×白眼雄果蝇（ry）：
杂交后子代可能的组合有：rr(雌)、ry(雄)。虽然红眼一定是雌性，白眼一定是雄性，但这个组合的子代都是白眼，所以不能通过眼色直接判断性别。

综上所述，正确答案是 B。",B,B,,
138,关于高等哺乳动物细胞分裂的叙述，正确的是____,细胞分裂的各时期都存在染色单体,细胞分裂形成的子细胞不一定具有细胞周期,细胞分裂过程中染色体数目和DNA数目的变化同步,有丝分裂和减数分裂各时期的细胞中都存在同源染色体,"我们来分析一下每个选项：

A: 细胞分裂的各时期都存在染色单体
在有丝分裂和减数分裂的过程中，染色体会在某些阶段以染色单体的形式存在。然而，在有丝分裂的前期和减数分裂的第一次分裂的前期，染色体已经复制形成染色体对，此时并不存在染色单体。所以，A选项不正确。

B: 细胞分裂形成的子细胞不一定具有细胞周期
细胞分裂后形成的子细胞通常都具有细胞周期。子细胞会根据需要进行生长、复制染色体、细胞器和进行分裂。因此，B选项不正确。

C: 细胞分裂过程中染色体数目和DNA数目的变化同步
细胞分裂的过程中，染色体数目并不总是与DNA数目的变化同步。在有丝分裂的S期和减数分裂的第一次分裂的前期，染色体复制后，染色体数目不变，而DNA数目加倍。因此，C选项不正确。

D: 有丝分裂和减数分裂各时期的细胞中都存在同源染色体
同源染色体是指具有相同基因序列和形状的染色体。有丝分裂和减数分裂的各个阶段中，同源染色体都存在。在有丝分裂中，同源染色体分别来自母细胞，在减数分裂中，同源染色体分别来自父母亲。因此，D选项正确。

D",D,B,,
139,在生态系统中，碳元素参与物质循环的主要形式是____,二氧化碳,碳酸盐,碳酸,有机物,"在生态系统中，碳元素以不同的形式参与物质循环。我们分析一下每个选项：

A: 二氧化碳 - 是大气中碳的主要形式，植物通过光合作用吸收二氧化碳，将碳元素固定为有机物。

B: 碳酸盐 - 是地壳中碳的主要形式，主要存在于石灰岩、大理石等地质构造中。虽然也是碳循环的一部分，但在生态系统中的作用较小。

C: 碳酸 - 是酸雨中碳的主要形式。然而，它在生态系统中的作用有限，对碳循环的贡献相对较小。

D: 有机物 - 生物体中碳的主要形式。有机物在生态系统中通过食物链传递，经过生物降解后释放二氧化碳，完成碳循环。

综合以上分析，我们可以得出，在生态系统中，碳元素参与物质循环的主要形式是二氧化碳，因为它在光合作用、生物降解等过程中起到关键作用。

A",A,D,,
140,"对除去顶芽的植物侧芽施加浓度为a生长素，生长出果实的时间为10天，当保留顶芽时，再施加浓度为a的生长素，侧芽生长出果实的时间为____
①6天②8天③12天④14天",①②,③④,①③,②④,"在这道题目中，我们需要考虑的是顶芽对侧芽生长的影响。顶芽可以产生生长素，而生长素在植物体内的分布是存在梯度的，从顶部向下逐渐减少。由于生长素会抑制侧芽的生长，所以顶芽被除去后，侧芽生长受到的抑制减少，生长速度加快。

题目给出了当除去顶芽时，施加浓度为a的生长素，侧芽生长出果实的时间为10天。当保留顶芽时，再施加浓度为a的生长素，由于顶芽的存在，侧芽生长受到更多的生长素抑制，因此侧芽生长出果实的时间会变长。

根据这个分析，保留顶芽时，侧芽生长出果实的时间会大于10天。所以正确答案应该是选项中大于10天的选项。

B",B,D,,
141,高尔基体膜上的RS受体特异性识别并结合含有短肽序列RS的蛋白质，以出芽的方式形成囊泡，通过囊泡运输的方式将错误转运到高尔基体的该类蛋白运回内质网并释放。RS受体与蛋白质的结合能力随pH升高而减弱。下列说法错误的是____,消化酶、胰岛素和抗体不属于该类蛋白,错误转运到高尔基体的该类蛋白运回内质网的过程需要消耗能量,高尔基体内RS受体所在区域的pH比内质网的pH高,RS受体的功能缺失可能会使高尔基体内含RS的蛋白含量增加,"首先我们来分析一下每个选项：

A: 消化酶、胰岛素和抗体不属于该类蛋白。这个选项是正确的。因为消化酶、胰岛素和抗体不属于含有短肽序列RS的蛋白质。

B: 错误转运到高尔基体的该类蛋白运回内质网的过程需要消耗能量。这个选项也是正确的。囊泡运输是一个主动过程，需要消耗能量。

C: 高尔基体内RS受体所在区域的pH比内质网的pH高。这个选项是错误的。实际上，高尔基体内RS受体所在区域的pH比内质网的pH低，这样有利于RS受体与蛋白质的结合。

D: RS受体的功能缺失可能会使高尔基体内含RS的蛋白含量增加。这个选项是正确的。如果RS受体功能缺失，那么错误转运到高尔基体的含RS的蛋白质将无法返回内质网，从而导致高尔基体内含RS的蛋白含量增加。

综上，错误的选项是C。

C",C,C,,
142,广告语“聪明的妈妈会用心(锌)”道出了锌的重要性，研究发现生物体内有七十多种酶的活性与Zn2+有关，这说明无机____,对维持酸碱平衡有重要作用,对维持细胞形态有重要作用,对维持生物体的生命活动有重要作用,对调节细胞内液的浓度有重要作用,"首先，我们来分析一下每个选项。

A: 对维持酸碱平衡有重要作用。酸碱平衡主要与体液的酸碱度有关，与锌离子的作用关系不大，所以这个选项不正确。

B: 对维持细胞形态有重要作用。虽然锌离子对细胞有一定的影响，但这里提到的是锌离子对酶活性的重要作用，所以这个选项也不正确。

C: 对维持生物体的生命活动有重要作用。酶是生物体进行各种生命活动的催化剂，锌离子对许多酶的活性有重要作用，因此这个选项是正确的。

D: 对调节细胞内液的浓度有重要作用。虽然锌离子在生物体内有调节作用，但这个选项并没有突出锌离子对酶活性的重要性，所以这个选项也不正确。

综合以上分析，正确答案是：

C",C,C,,
143,B淋巴细胞分化形成浆细胞和记忆B淋巴细胞，他们相同的是____,细胞形态相同,蛋白质相同,遗传物质相同,mRNA相同,"首先，我们需要了解浆细胞和记忆B淋巴细胞的基本特点。

浆细胞：B淋巴细胞在遇到抗原刺激后，会分化成浆细胞。浆细胞主要功能是产生和分泌抗体，以应对外来抗原。

记忆B淋巴细胞：B淋巴细胞在遇到抗原刺激后，也会分化成记忆B淋巴细胞。记忆B淋巴细胞的主要功能是在再次遇到相同抗原时，迅速被激活并分化为浆细胞，产生抗体。

接下来，我们分析每个选项的正确性。

A: 细胞形态相同 - 浆细胞和记忆B淋巴细胞在形态上有所差异，浆细胞具有丰富的内质网和高尔基体，以支持大量抗体的合成和分泌。因此，这个选项是错误的。

B: 蛋白质相同 - 浆细胞和记忆B淋巴细胞在蛋白质表达上有所不同。例如，浆细胞会表达大量的抗体，而记忆B淋巴细胞不会。因此，这个选项是错误的。

C: 遗传物质相同 - 浆细胞和记忆B淋巴细胞都来源于B淋巴细胞，它们的遗传物质（DNA）相同。因此，这个选项是正确的。

D: mRNA相同 - 虽然浆细胞和记忆B淋巴细胞的遗传物质相同，但它们的mRNA表达不同，因为它们的功能不同。因此，这个选项是错误的。

综上所述，答案是C: 遗传物质相同。

C",C,C,,
144,"用若干基因型为Aa的棉铃虫进行自由交配，获得大量子代。用某种杀虫剂处理该棉铃虫的子代种群,发现基因型为AA、Aa、aa的个体分别被淘汰掉80%、40％、20%。下列叙述正确的是____",杀虫剂对棉铃虫发挥选择作用，并会诱发棉铃虫的突变,杀虫剂的使用使棉铃虫Aa的基因型降低,淘汰后棉铃虫A的基因频率为36.4％,继续使用该杀虫剂，棉铃虫的死亡率云逐代增加,"我们先分析每个选项的合理性。

A: 杀虫剂对棉铃虫发挥选择作用，并会诱发棉铃虫的突变
杀虫剂确实对棉铃虫发挥了选择作用，但它并不能诱发突变。突变是由遗传物质的改变引起的，与杀虫剂的作用无关。因此，选项A不正确。

B: 杀虫剂的使用使棉铃虫Aa的基因型降低
我们可以通过计算淘汰后的基因型频率来验证这个选项。首先，我们需要知道初始的基因型频率。由题意可知，初始时Aa的基因型频率为0.5（因为两个Aa交配，产生的子代基因型频率为AA：Aa：aa=1:2:1，所以Aa的频率为0.5）。在杀虫剂处理后，Aa基因型的个体被淘汰了40%，所以剩下的Aa个体数量为0.5 * (1 - 0.4) = 0.3。这说明Aa基因型的频率降低了，选项B是正确的。

C: 淘汰后棉铃虫A的基因频率为36.4％
我们需要计算淘汰后A和a的基因频率。初始时A的基因频率为0.5（由Aa的基因型可以知道，A和a的基因频率相等）。淘汰后AA、Aa和aa的基因型频率分别为0.2、0.3和0.8。淘汰后A的基因频率为AA频率的2倍加上Aa频率，即2 * 0.2 + 0.3 = 0.7，a的基因频率为1 - 0.7 = 0.3。因此，选项C不正确。

D: 继续使用该杀虫剂，棉铃虫的死亡率云逐代增加
这个选项的正确性取决于是否存在抗药性的逐代增强现象。然而，根据题目给出的信息，我们无法得出这个结论。因此，选项D不正确。

综上所述，正确答案是：

B",B,C,,
145,有关真核细胞分裂的叙述，正确的是____,无丝分裂过程中不会出现纺锤丝和染色体的变化,动物细胞仅以有丝分裂方式进行增殖,无丝分裂过程核膜消失,无丝分裂仅出现于高等生物的衰老细胞,"我们首先分析每个选项的正确性：

A: 无丝分裂过程中不会出现纺锤丝和染色体的变化
这个选项是错误的。无丝分裂（Amitosis）是一种细胞分裂的方式，过程中核内的染色质均匀分散，然后直接分裂成两个子细胞，无需形成纺锤丝。但是染色体在无丝分裂过程中仍然会有变化。

B: 动物细胞仅以有丝分裂方式进行增殖
这个选项是正确的。动物细胞通过有丝分裂（Mitosis）进行增殖。在有丝分裂过程中，细胞的核内染色体会被复制并通过纺锤丝的作用平均分配到两个新形成的细胞中。这样，每个新细胞都会有一套与原细胞相同的染色体。

C: 无丝分裂过程核膜消失
这个选项是错误的。在无丝分裂过程中，核膜不会消失。核膜在有丝分裂过程中会消失，以便纺锤丝可以与染色体相互作用并将染色体分配到新形成的细胞中。

D: 无丝分裂仅出现于高等生物的衰老细胞
这个选项是错误的。无丝分裂在高等生物的某些细胞类型中可能会出现，但并非仅限于衰老细胞。此外，许多低等生物（如某些原生生物）的细胞分裂也可以通过无丝分裂进行。

综上所述，正确答案是：

B",B,A,,
146,青蒿素是目前治疗疟疾的首选药物，是从黄花蒿茎叶中提取的无色针状晶体，可用有机溶剂（乙醚）进行提取。它的抗疟机理主要是其活化产生的自由基可破坏疟原虫的生物膜结构。以下说法错误的是____,青蒿素属于脂溶性物质,青蒿素可以破坏疟原虫细胞的完整性,青蒿素可破坏疟原虫的细胞膜、核膜和细胞器膜,青蒿素不会影响疟原虫线粒体的功能,"我们可以逐个选项进行分析：

A: 青蒿素属于脂溶性物质。这个选项是正确的，因为青蒿素可以用有机溶剂（乙醚）进行提取，说明它是脂溶性物质。

B: 青蒿素可以破坏疟原虫细胞的完整性。这个选项也是正确的，因为青蒿素的抗疟机理主要是其活化产生的自由基可以破坏疟原虫的生物膜结构，从而影响疟原虫细胞的完整性。

C: 青蒿素可破坏疟原虫的细胞膜、核膜和细胞器膜。这个选项同样是正确的，因为青蒿素可以破坏疟原虫的生物膜结构，这包括细胞膜、核膜和细胞器膜。

D: 青蒿素不会影响疟原虫线粒体的功能。这个选项是错误的，因为线粒体的功能与线粒体的膜结构密切相关，青蒿素破坏疟原虫的生物膜结构，可能会影响到线粒体的功能。

综上所述，正确答案是：

D",D,D,,
147,研究发现，人体细胞的细胞质基质中$Ca^{2+}$浓度要比内质网和内环境中$Ca^{2+}$浓度低很多。当内质网中$Ca^{2+}$浓度过高时，$Ca^{2+}$诱导内质网膜上的某种蛋白质由二聚体聚合为四聚体，这种四聚体中会出现$Ca^{2+}$通道，$Ca^{2+}$经$Ca^{2+}$通道外流至细胞质基质，当内质网中$Ca^{2+}$浓度恢复正常时，四聚体又会变为二聚体，$Ca^{2+}$通道消失。下列叙述错误的是____,内质网中$Ca^{2+}$浓度维持相对稳定的调节方式中有负反馈调节,$Ca^{2+}$运出细胞和$Ca^{2+}$进入内质网均属于消耗能量的跨膜运输,内质网膜上$Ca^{2+}$通道的数量受该膜两侧$Ca^{2+}$浓度差的影响,某人出汗后常出现抽搐现象，可能是血$Ca^{2+}$浓度过高所致,"我们可以逐个分析每个选项：

A: 内质网中$Ca^{2+}$浓度维持相对稳定的调节方式中有负反馈调节
这个选项是正确的，因为当内质网中$Ca^{2+}$浓度过高时，$Ca^{2+}$通过通道外流至细胞质基质，当内质网中$Ca^{2+}$浓度恢复正常时，$Ca^{2+}$通道消失。这是一个典型的负反馈调节过程。

B: $Ca^{2+}$运出细胞和$Ca^{2+}$进入内质网均属于消耗能量的跨膜运输
这个选项是正确的，因为$Ca^{2+}$是一个带有正电荷的离子，要跨越细胞膜和内质网膜，需要消耗能量来进行主动运输。

C: 内质网膜上$Ca^{2+}$通道的数量受该膜两侧$Ca^{2+}$浓度差的影响
这个选项是正确的，因为当内质网中$Ca^{2+}$浓度过高时，会诱导膜上的蛋白质聚合为四聚体，形成$Ca^{2+}$通道。当内质网中$Ca^{2+}$浓度恢复正常时，四聚体又会变为二聚体，$Ca^{2+}$通道消失。这说明通道的数量受到两侧$Ca^{2+}$浓度差的影响。

D: 某人出汗后常出现抽搐现象，可能是血$Ca^{2+}$浓度过高所致
这个选项是错误的，因为出汗后出现抽搐现象更可能是由于血$Ca^{2+}$浓度过低，而非过高。血$Ca^{2+}$浓度过低可能导致神经肌肉兴奋性增高，从而引发抽搐现象。

综上所述，正确答案是：

D",D,D,,
148,向冷却的糯米饭上倒酵母菌的酒曲，盖上盖子并戳几个小孔，放置5天后产生大量水，10天后产生酒精，期间的过程是____,有氧,无氧,先有氧后无氧,先无氧后有氧,"在这个题目中，我们需要分析糯米饭发酵的过程，以确定在发酵过程中氧气的作用。

首先，向冷却的糯米饭上倒酵母菌的酒曲，酵母菌开始分解糯米饭中的淀粉，将其转化为糖分。这一过程是有氧的，因为酵母菌需要氧气来进行代谢活动。

然后，盖上盖子并戳几个小孔。这样做的目的是限制氧气进入容器内，同时允许二氧化碳和其他气体逸出。在这个阶段，酵母菌逐渐耗尽了容器内的氧气，开始进行厌氧呼吸。厌氧呼吸的一个副产物是酒精，因此在10天后，糯米饭中产生了酒精。

根据以上分析，我们可以得出结论：糯米饭发酵的过程是先有氧后无氧。因此，正确答案是：

C",C,D,,
149,蒸腾作用的强弱通常不会直接影响植物的：____,矿质元素的运输,矿质元素的吸收,水的运输,体内水份散失的量,"蒸腾作用是指植物体内的水分通过气孔散失到大气中的过程。蒸腾作用的强弱会影响植物的水分运输和散失。我们来分析一下各个选项：

A: 矿质元素的运输 - 蒸腾作用会促使植物体内的水分上升，从而带动矿质元素的运输，所以蒸腾作用的强弱会影响矿质元素的运输。

B: 矿质元素的吸收 - 矿质元素的吸收主要依赖于植物根部的吸收能力，而蒸腾作用的强弱对根部的吸收能力没有直接影响。所以这个选项有可能是正确答案。

C: 水的运输 - 如前所述，蒸腾作用会促使植物体内的水分上升，从而影响水的运输。所以蒸腾作用的强弱会影响水的运输。

D: 体内水份散失的量 - 蒸腾作用本身就是植物体内水分散失的过程，所以蒸腾作用的强弱肯定会影响体内水份散失的量。

综合分析以上选项，我们可以得出正确答案是：

B",B,B,,
150,用高倍显微镜观察洋葱根尖细胞比用低倍镜观察到的细胞数目、大小和视野的明暗情况依次为____,多、大、亮,少、小、暗,多、小、暗,少、大、暗,"我们来分析一下这道题目。当我们用高倍显微镜观察洋葱根尖细胞时，我们可以看到的细胞数目会比用低倍显微镜观察到的要少，因为高倍显微镜的视野范围更小。同时，由于高倍显微镜的放大倍数更高，所以我们观察到的细胞大小会显得更大。至于视野的明暗情况，由于高倍显微镜的物镜距离物体更近，光线会被更多地聚焦在细胞上，使得观察到的细胞更暗。

综上所述，用高倍显微镜观察洋葱根尖细胞比用低倍镜观察到的细胞数目、大小和视野的明暗情况依次为少、大、暗。因此，正确答案是：

D",D,D,,
151,下列关于生物进化的叙述，正确的____,自然选择学说认为，长颈鹿的长颈性状的形成是长期采食高处树叶的结果,超级细菌感染病例的出现，是因为抗生素的滥用促使细菌发生基因突变,人工饲养的公狮和母虎交配，产下的“狮虎兽”不育，说明狮和虎存在生殖隔离,19世纪的英国工业革命，使灰色桦尺蛾变成新物种——黑色桦尺蛾,"首先，我们来分析每个选项：

A: 自然选择学说认为，长颈鹿的长颈性状的形成是长期采食高处树叶的结果。
这个选项是错误的，因为自然选择学说认为，长颈鹿的长颈性状的形成是因为长颈鹿在采食高处树叶时具有优势，能够更好地生存和繁殖。这种性状是基因变异的结果，而非长期采食高处树叶的结果。

B: 超级细菌感染病例的出现，是因为抗生素的滥用促使细菌发生基因突变。
这个选项也是错误的，抗生素滥用确实会导致抗生素抗性细菌的增加，但抗生素滥用不会直接促使细菌发生基因突变。基因突变是随机发生的，抗生素滥用只是为抗性基因的筛选提供了条件。

C: 人工饲养的公狮和母虎交配，产下的“狮虎兽”不育，说明狮和虎存在生殖隔离。
这个选项是正确的。生殖隔离是指两个生物种群在自然条件下无法产生后代或产生的后代不具有繁殖能力。在这个例子中，公狮和母虎的杂交后代“狮虎兽”不育，说明狮和虎之间存在生殖隔离。

D: 19世纪的英国工业革命，使灰色桦尺蛾变成新物种——黑色桦尺蛾。
这个选项是错误的。工业革命导致环境污染，使得树干变黑，这为黑色桦尺蛾提供了更好的保护色，使得它们在自然选择中具有优势。然而，黑色桦尺蛾并非由灰色桦尺蛾进化而来的新物种，它们仍然属于同一物种。

综上所述，正确答案是：

C",C,C,,
152,下列有关生物膜的叙述正确的是____,生物膜上能产生[H]，但不消耗[H],生物膜上能消耗ATP，但不合成ATP,生物膜上的蛋白质含量和种类不会发生变化,生物膜上的蛋白质具有催化、运输和识别等功能,"我们来逐个分析这四个选项：

A: 生物膜上能产生[H]，但不消耗[H]。这个选项是错误的，因为生物膜上的细胞呼吸过程中，会产生和消耗[H]。

B: 生物膜上能消耗ATP，但不合成ATP。这个选项也是错误的，因为生物膜上有线粒体，它在细胞呼吸过程中可以合成ATP。

C: 生物膜上的蛋白质含量和种类不会发生变化。这个选项是错误的，因为生物膜上的蛋白质会根据细胞的需要进行调整，如在不同的环境条件下，细胞可能需要表达不同的转运蛋白。

D: 生物膜上的蛋白质具有催化、运输和识别等功能。这个选项是正确的，生物膜上的蛋白质有多种功能，包括酶催化反应、物质的转运、信号识别和传递等。

综上所述，正确答案是选项D。

D",D,D,,
153,"小麦高秆对矮秆为显性。现有甲、乙两种高秆小麦，其中一种为纯合子，利用现有材料完成下列任务：（1）鉴定并保留纯合子小麦；（2）育出矮秆小麦。最佳措施分别是____
①甲与乙杂交，得F1测交     ②甲、乙分别与隐性类型相交   
③甲与乙杂交得F1再自交     ④甲自交，乙自交",①③,①④,④③,④②,"题目中给出了两种高秆小麦，其中一种为纯合子。我们需要完成两个任务：（1）鉴定并保留纯合子小麦；（2）育出矮秆小麦。我们需要从给出的四个选项中，选择两个可以完成这两个任务的选项。

我们先分析每个选项的作用：

①甲与乙杂交，得F1测交：这个选项可以帮助我们判断甲和乙哪个是纯合子。如果F1代都是高秆，那么纯合子的高秆小麦就是那个和隐性矮秆杂交的亲本；如果F1代有矮秆，那么纯合子的高秆小麦就是另一个亲本。

②甲、乙分别与隐性类型相交：这个选项可以让我们直接鉴定出纯合子的高秆小麦，因为纯合子高秆小麦与矮秆杂交后的后代都是高秆，而杂合子高秆小麦与矮秆杂交后会出现矮秆后代。

③甲与乙杂交得F1再自交：这个选项可以让我们育出矮秆小麦，因为甲乙杂交后，F1代中可能会有杂合子高秆小麦（如果甲、乙中有一个是杂合子的话），杂合子高秆小麦自交后会有1/4的比例出现矮秆小麦。

④甲自交，乙自交：这个选项无法帮助我们鉴定纯合子小麦或者育出矮秆小麦，因为纯合子高秆小麦自交仍然是高秆，杂合子高秆小麦自交虽然会有矮秆后代，但我们无法确定是甲还是乙。

根据以上分析，选项①可以帮助我们鉴定纯合子小麦，选项③可以让我们育出矮秆小麦。因此，最佳措施是①和③。

A",A,D,,
154,"调查发现人群中夫妇双方均表现正常也能生出白化病患儿.研究表明白化病由一对等位基因控制。下列有关白化病遗传的叙述,错误的是____",致病基因是隐性基因,"如果夫妇双方都是携带者,他们生出白化病儿子的概率是1/8",如果夫妇双方一方是白化病患者，他们所生正常的子女一定是携带者,白化病患者与表现正常的人结婚，所生子女表现正常的概率是1,"首先，我们来分析每个选项：

A: 致病基因是隐性基因
这个说法是正确的。白化病是一种常染色体隐性遗传病，需要两个隐性基因才会表现出病状。夫妇双方都表现正常，但他们的孩子可能患有白化病，说明他们都是携带者，即他们的基因型为Aa。

B: 如果夫妇双方都是携带者，他们生出白化病儿子的概率是1/8
这个说法是错误的。夫妇双方都是携带者，那么他们的基因型都为Aa。根据孟德尔遗传定律，他们生育子女的基因型概率分布为：AA：Aa：Aa：aa = 1：2：1。所以，他们生出白化病孩子的概率是1/4，而不是1/8。这里没有提及孩子的性别，因此不需要考虑性别的影响。

C: 如果夫妇双方一方是白化病患者，他们所生正常的子女一定是携带者
这个说法是正确的。假设白化病患者的基因型为aa，另一方表现正常，那么其基因型为AA或Aa。根据孟德尔遗传定律，若正常一方的基因型为AA，那么他们的子女基因型全部为Aa，即全部为携带者；若正常一方的基因型为Aa，那么他们的子女基因型分布为Aa：aa = 1：1，即正常子女的基因型为Aa，也是携带者。

D: 白化病患者与表现正常的人结婚，所生子女表现正常的概率是1
这个说法是错误的。根据前面的分析，若表现正常的一方基因型为AA，那么子女全部为携带者，表现正常的概率为1；若表现正常的一方基因型为Aa，那么子女基因型分布为Aa：aa = 1：1，表现正常的概率为1/2。

综上所述，错误的叙述是选项B。

B",B,D,,
155,鉴定生物组织中蛋白质的化学试剂____,龙胆紫染液,苏丹Ⅲ染液,双缩脲试剂,斐林试剂,"在这道题目中，我们需要找出能够鉴定生物组织中蛋白质的化学试剂。下面是每个选项的解释：

A: 龙胆紫染液 - 这是一种常用于显微镜下观察细胞核的染色剂，主要用于染色DNA，与蛋白质鉴定无关。

B: 苏丹Ⅲ染液 - 这是一种脂肪染色剂，主要用于检测脂肪和脂质，与蛋白质鉴定无关。

C: 双缩脲试剂 - 这是一种用于检测蛋白质的试剂。它与蛋白质中的肽键发生反应，生成紫色的络合物，从而鉴定出蛋白质的存在。

D: 斐林试剂 - 这是一种用于检测还原糖的试剂，与蛋白质鉴定无关。

根据以上解释，我们可以得出正确答案是C选项。

C",C,C,,
156,具有两对相对性状的纯合子杂交，按自由组合规律遗传，在中能够稳定遗传的个体数占____,$l/16$,$2/16$,$3/16$,$4/16$,"我们来分析这个问题。题目中提到具有两对相对性状的纯合子杂交，按自由组合规律遗传。我们可以设这两对性状分别为A和a，B和b。那么杂交的父母可以表示为AA BB和aa bb。

根据孟德尔的自由组合规律，这两对性状在子代中的组合是独立的，所以我们可以分别计算A和B的杂交组合。

对于A与a的组合，纯合子杂交后子代的基因型为Aa，所以第二代子代基因型的比例为：AA：Aa：aa = 1：2：1。

对于B与b的组合，纯合子杂交后子代的基因型为Bb，所以第二代子代基因型的比例为：BB：Bb：bb = 1：2：1。

我们将这两个比例相乘，得到所有可能的组合：
AA BB：AA Bb：AA bb
Aa BB：Aa Bb：Aa bb
aa BB：aa Bb：aa bb

比例为：1：2：1（横向）× 1：2：1（纵向）= 1：4：1（横向）× 1：4：1（纵向）= 1：4：6：4：1（横向）× 1：4：1（纵向）

所以，具有两对相对性状的纯合子杂交，按自由组合规律遗传，在F2代能够稳定遗传的个体数占的比例为两个性状的纯合子个体数占总个体数的比例，即AA BB、Aa Bb、aa BB、aa bb这四个纯合子组合。

这四个纯合子组合在上述比例中分别占1/16、1/16、1/16、1/16。所以稳定遗传的个体数占的比例为4/16。

因此，答案是：

D",D,D,,
157,下列不属于相对性状的是____,果蝇的红眼和白眼,桃树的红花与绿叶,人类的白化病与正常肤色,人类的双眼皮与单眼皮,"在这道题目中，我们需要找到一个不属于相对性状的选项。相对性状是指由多对基因共同作用决定的性状，它们的表现具有连续的变化范围。

A: 果蝇的红眼和白眼 - 这是一个由单个基因决定的性状，因为红眼和白眼是由一个基因的两个等位基因决定的。所以这是一个绝对性状。

B: 桃树的红花与绿叶 - 这个性状通常是由多对基因共同作用决定的，因此它是一个相对性状。

C: 人类的白化病与正常肤色 - 白化病是一种遗传病，由单个基因决定。正常肤色是由多个基因共同决定的。所以这个选项包含了相对性状和绝对性状。

D: 人类的双眼皮与单眼皮 - 这个性状是由多个基因共同决定的，因此它是一个相对性状。

根据以上分析，不属于相对性状的选项是A: 果蝇的红眼和白眼。

A",A,B,,
